EmployeeId,Department,Salary,MangerId
194,Sales,64722,101
195,Sales,93832,107
196,Marketing,92019,105
197,Finance,90558,100
198,Sales,60352,100
199,Sales,81052,102
200,Sales,90737,102
201,Sales,72163,100
202,Sales,53111,100
203,Engineering,76820,103
204,Engineering,51848,107
205,Marketing,61598,107
206,HumanResouce,57840,100
207,HumanResouce,53176,108
208,Finance,59027,100
209,Marketing,53320,107
210,Sales,94362,102
211,Sales,81229,107
212,Marketing,98955,106
213,HumanResouce,94957,109
214,Marketing,71134,102
215,Finance,93009,105
216,Sales,53929,105
217,Finance,92040,107
218,Marketing,73168,107
219,Marketing,81753,107
220,Finance,81362,100
221,Finance,80533,109
222,Finance,71567,104
223,HumanResouce,51611,108
224,Finance,87212,105
225,Engineering,51558,101
226,Marketing,56050,102
